电影名,评分,卡司,海报
一个叫欧维的男人决定去死,8.8,"罗夫·拉斯加德,巴哈·帕斯,托比亚斯·阿姆博瑞",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
雨人,8.7,"达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱丽亚·戈利诺",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg
你看起来好像很好吃,8.9,"山口胜平,爱河里花子,加藤清史郎",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
无敌破坏王,8.7,"约翰·C·赖利,萨拉·西尔弗曼,杰克·麦克布瑞尔",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
未麻的部屋,8.9,"岩男润子,松本梨香,辻亲八",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
恋恋笔记本,8.5,"瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
冰川时代,8.6,"雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
哈利·波特与密室,8.6,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
海街日记,8.8,"绫濑遥,长泽雅美,夏帆",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg
新世界,8.8,"李政宰,崔岷植,黄政民",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
海边的曼彻斯特,8.6,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg
二十二,8.7,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg
虎口脱险,8.9,"路易·德·菲奈斯,布尔维尔,克劳迪奥·布鲁克",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
房间,8.8,"布丽·拉尔森,雅各布·特伦布莱,肖恩·布里吉格斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
恐怖游轮,8.5,"梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
惊魂记,9.0,"安东尼·博金斯,维拉·迈尔斯,约翰·加文",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
人工智能,8.6,"海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
雨中曲,9.0,"吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
魔女宅急便,8.6,"高山南,佐久间玲,户田惠子",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
奇迹男孩,8.6,"雅各布·特伦布莱,朱莉娅·罗伯茨,伊扎贝拉·维多维奇",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
疯狂的石头,8.5,"郭涛,刘桦,连晋",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
罗生门,8.8,"三船敏郎,京町子,森雅之",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2564689879.jpg
海洋,9.1,"皮尔斯·布鲁斯南,雅克·贝汉,姜文",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg
爱在午夜降临前,8.8,"伊桑·霍克,朱莉·德尔佩,肖姆斯·戴维-菲茨帕特里克",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
终结者2：审判日,8.7,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
燃情岁月,8.8,"布拉德·皮特,安东尼·霍普金斯,艾丹·奎因",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg
魂断蓝桥,8.8,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
小偷家族,8.7,"中川雅也,安藤樱,松冈茉优",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
初恋这件小事,8.4,"平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p767451487.jpg
穿越时空的少女,8.6,"仲里依纱,石田卓也,板仓光隆",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg
可可西里,8.8,"多布杰,张正阳,奇道",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414771522.jpg
绿里奇迹,8.8,"汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
2001太空漫游,8.8,"凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg
完美陌生人,8.5,"马可·贾利尼,卡夏·斯穆特尼亚克,爱德华多·莱奥",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg
牯岭街少年杀人事件,8.8,"张震,杨静怡,张国柱",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
无耻混蛋,8.6,"布拉德·皮特,梅拉尼·罗兰,克里斯托弗·瓦尔兹",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg
阿飞正传,8.5,"张国荣,张曼玉,刘嘉玲",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg
城市之光,9.3,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
新龙门客栈,8.6,"张曼玉,林青霞,梁家辉",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
源代码,8.4,"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
香水,8.5,"本·卫肖,艾伦·瑞克曼,蕾切儿·哈伍德",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2441127736.jpg
谍影重重2,8.6,"马特·达蒙,弗朗卡·波滕特,布莱恩·考克斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
青蛇,8.5,"张曼玉,王祖贤,赵文卓",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg
谍影重重,8.6,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg
地球上的星星,8.9,"达席尔·萨法瑞,阿米尔·汗,塔奈·切赫达",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg
战争之王,8.6,"尼古拉斯·凯奇,布丽姬·穆娜,杰瑞德·莱托",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg
猜火车,8.5,"伊万·麦克格雷格,艾文·布莱纳,约翰尼·李·米勒",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg
血钻,8.6,"莱昂纳多·迪卡普里奥,杰曼·翰苏,詹妮弗·康纳利",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg
色，戒,8.4,"梁朝伟,汤唯,陈冲",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
遗愿清单,8.6,"杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg
大佛普拉斯,8.7,"庄益增,陈竹昇,戴立忍",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg
朗读者,8.6,"凯特·温丝莱特,大卫·克劳斯,拉尔夫·费因斯",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg
浪潮,8.7,"于尔根·福格尔,弗雷德里克·劳,马克思·雷迈特",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg
步履不停,8.8,"阿部宽,夏川结衣,江原由希子",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561539680.jpg
彗星来的那一夜,8.5,"艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
疯狂的麦克斯4：狂暴之路,8.6,"汤姆·哈迪,查理兹·塞隆,尼古拉斯·霍尔特",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg
小萝莉的猴神大叔,8.4,"萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg
再次出发之纽约遇见你,8.5,"凯拉·奈特莉,马克·鲁弗洛,亚当·莱文",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg
聚焦,8.8,"马克·鲁弗洛,迈克尔·基顿,瑞秋·麦克亚当斯",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg
驴得水,8.3,"任素汐,大力,刘帅良",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg
东京物语,9.2,"笠智众,原节子,杉村春子",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg
追随,8.9,"杰里米·西奥伯德,亚历克斯·霍,露西·拉塞尔",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.jpg
一次别离,8.7,"佩曼·莫阿迪,蕾拉·哈塔米,萨瑞·巴亚特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg
我爱你,9.0,"宋在浩,李顺载,尹秀晶",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
千钧一发,8.8,"伊桑·霍克,乌玛·瑟曼,裘德·洛",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg
黑鹰坠落,8.7,"乔什·哈奈特,伊万·麦克格雷格,汤姆·塞兹摩尔",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg
九品芝麻官,8.5,"周星驰,吴孟达,张敏",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg
四个春天,8.9,"陆运坤,李桂贤,陆庆伟",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2540578887.jpg
发条橙,8.5,"马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg
网络谜踪,8.6,"约翰·赵,米切尔·拉,黛博拉·梅辛",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542848758.jpg
E.T. 外星人,8.6,"亨利·托马斯,迪·沃伦斯,罗伯特·麦克纳夫顿",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg
哈利·波特与火焰杯,8.5,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2220723219.jpg
撞车,8.6,"桑德拉·布洛克,唐·钱德尔,马特·狄龙",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg
